"<1783681661150>" ,-0.2890678,0.4485549,0.22966911,0.8139351,2.5466821,-0.81127614,6.220519
"<1783681661185>" ,-0.2885818,0.44807103,0.22511481,0.8156447,2.5486388,-0.8111936,6.2201195
"<1783681661217>" ,-0.28755048,0.44669464,0.21968438,0.81824034,2.5508428,-0.8101131,6.219693
"<1783681661252>" ,-0.28579172,0.44466868,0.213206,0.82166666,2.552622,-0.8083196,6.21938
"<1783681661285>" ,-0.2836434,0.4443452,0.20807917,0.8238973,2.5538723,-0.8068021,6.219063
"<1783681661318>" ,-0.2835769,0.44422776,0.20718731,0.8242083,2.554061,-0.80607694,6.218678
"<1783681661352>" ,-0.28415018,0.44627076,0.2072933,0.8228794,2.5542924,-0.80557996,6.2182117
"<1783681661385>" ,-0.28613678,0.44741943,0.20830083,0.82131135,2.5539856,-0.80524766,6.2177005
"<1783681661419>" ,-0.2871187,0.44873306,0.20797436,0.82033414,2.554009,-0.8047217,6.2176538
"<1783681661453>" ,-0.28672665,0.4507639,0.20702904,0.81959665,2.5545287,-0.80377156,6.2179136
"<1783681661486>" ,-0.28546223,0.4507008,0.20687877,0.8201105,2.5547416,-0.8023128,6.2186728
"<1783681661519>" ,-0.28244993,0.44955015,0.20524298,0.8221934,2.5554698,-0.80062324,6.2195954
"<1783681661553>" ,-0.27958766,0.4521427,0.2017887,0.822605,2.5567899,-0.7986937,6.2204466
"<1783681661587>" ,-0.27882987,0.4511018,0.20063351,0.82371557,2.5573695,-0.7972254,6.2208652
"<1783681661620>" ,-0.28000012,0.44819844,0.20129348,0.8247418,2.5571725,-0.79639256,6.221167
"<1783681661653>" ,-0.28095174,0.4487793,0.20318583,0.82363755,2.55675,-0.7957561,6.2218375
"<1783681661686>" ,-0.2811707,0.4501147,0.2053594,0.82229394,2.5565,-0.7950064,6.222975
"<1783681661720>" ,-0.28140533,0.45008123,0.2076232,0.82166326,2.5560997,-0.7941326,6.2241235
"<1783681661752>" ,-0.28038412,0.44935736,0.2092961,0.8219841,2.5558891,-0.79287773,6.2253275
"<1783681661787>" ,-0.27815512,0.44838718,0.21001448,0.8230872,2.5561626,-0.7911142,6.2266326
"<1783681661819>" ,-0.2749052,0.4480757,0.21027042,0.82428247,2.5569108,-0.7889972,6.228015
"<1783681661853>" ,-0.27325377,0.4471511,0.2112325,0.8250873,2.5575516,-0.78667766,6.22933
"<1783681661887>" ,-0.2726973,0.446534,0.21173449,0.8254768,2.5583372,-0.78431535,6.230337
"<1783681661920>" ,-0.2723953,0.44794574,0.21176623,0.82480335,2.5594342,-0.7820482,6.2311945
"<1783681661954>" ,-0.27358928,0.4503462,0.2111249,0.8232639,2.5604775,-0.7795521,6.2317457
"<1783681661987>" ,-0.27497378,0.4544289,0.20921855,0.82104284,2.561557,-0.7761091,6.232358
